,lm,ccg,model
0,0.010727347806096077,0.09105484932661057,0
1,0.009847368113696575,0.14372868835926056,0
2,0.006968270055949688,0.12783211469650269,0
3,0.018667904660105705,0.04935547336935997,0
4,0.010439520701766014,0.13083615899085999,0
5,0.008734703063964844,0.09095704555511475,0
6,0.012821524403989315,0.10094448924064636,0
7,0.01550417672842741,0.1342768520116806,0
8,0.008303187787532806,0.08001570403575897,0
9,0.010660543106496334,0.06499943137168884,0
10,0.01157151348888874,0.1203366070985794,0
11,0.010124717839062214,0.10636080056428909,0
12,0.03303079679608345,0.08765489608049393,0
13,0.011253228411078453,0.11508838832378387,0
14,0.008073406293988228,0.11594273149967194,0
15,0.008415724150836468,0.08159847557544708,0
16,0.007961174473166466,0.0855802595615387,0
17,0.007979088462889194,0.07575233280658722,0
18,0.02104751393198967,0.05725878104567528,0
19,0.00836331769824028,0.061996184289455414,0
20,0.012212943285703659,0.14053475856781006,0
21,0.013676480390131474,0.0669671893119812,0
22,0.01356511004269123,0.09472110122442245,0
23,0.01090884581208229,0.12840713560581207,0
24,0.010087605565786362,0.08462783694267273,0
25,0.008120044134557247,0.15054412186145782,0
26,0.007939659059047699,0.10246741026639938,0
27,0.0106741264462471,0.1705208718776703,0
28,0.012779125943779945,0.13191348314285278,0
29,0.006545436568558216,0.16623719036579132,0
30,0.009716849774122238,0.1626177579164505,0
31,0.012895763851702213,0.25324195623397827,0
32,0.008896749466657639,0.16049347817897797,0
33,0.025677109137177467,0.08385364711284637,0
34,0.006654480937868357,0.06199124455451965,0
35,0.01148765068501234,0.06677486002445221,0
36,0.01910424791276455,0.04939264804124832,0
37,0.007317189127206802,0.13206161558628082,0
38,0.006490006577223539,0.1398405134677887,0
39,0.009078236296772957,0.11170489341020584,0
40,0.0107688307762146,0.18771152198314667,0
41,0.00881374441087246,0.12908190488815308,0
42,0.011448520235717297,0.04144202172756195,0
43,0.00972550455480814,0.06291046738624573,0
44,0.007331738248467445,0.09221602976322174,0
45,0.014608592726290226,0.1545572578907013,0
46,0.009852644056081772,0.10981124639511108,0
47,0.01526128500699997,0.08980733901262283,0
48,0.010050029493868351,0.1418864130973816,0
49,0.013216119259595871,0.06469403207302094,0
50,0.009142891503870487,0.11881697177886963,0
51,0.019822727888822556,0.10195021331310272,0
52,0.012343097478151321,0.07722032070159912,0
53,0.011385874822735786,0.10518651455640793,0
54,0.007670618128031492,0.08884180337190628,0
55,0.030081266537308693,0.08553806692361832,0
56,0.02688498981297016,0.08742132782936096,0
57,0.01096289325505495,0.08638900518417358,0
58,0.01630648784339428,0.11356636136770248,0
59,0.009225179441273212,0.12529297173023224,0
60,0.013530226424336433,0.11251778155565262,0
