sent=3 sample=14 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=15 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=16 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=17 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=18 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=19 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=20 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=21 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=22 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=23 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=24 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=25 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=26 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=27 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=28 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=29 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=30 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=31 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=32 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=33 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=34 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=35 ||| proposal=-7.08127 ||| joint=-94.9439
sent=3 sample=36 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=37 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=38 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=39 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=40 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=41 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=42 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=43 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=44 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=45 ||| proposal=-6.87444 ||| joint=-97.6503
sent=3 sample=46 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=47 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=48 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=49 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=50 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=51 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=52 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=53 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=54 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=55 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=56 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=57 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=58 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=59 ||| proposal=-0.0227242 ||| joint=-78.4573
