sent=1 sample=94 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=95 ||| proposal=-2.4414 ||| joint=-120.268
sent=1 sample=96 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=97 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=98 ||| proposal=-12.901 ||| joint=-134.246
sent=1 sample=99 ||| proposal=-1.1349 ||| joint=-109.11
prob: -106.607940561059 (len=14)
sent=2 sample=0 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=1 ||| proposal=-7.70137 ||| joint=-134.419
sent=2 sample=2 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=3 ||| proposal=-5.07641 ||| joint=-113.202
sent=2 sample=4 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=5 ||| proposal=-3.25608 ||| joint=-112.494
sent=2 sample=6 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=7 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=8 ||| proposal=-5.9718 ||| joint=-110.975
sent=2 sample=9 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=10 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=11 ||| proposal=-2.55245 ||| joint=-120.76
sent=2 sample=12 ||| proposal=-6.93476 ||| joint=-136.8
sent=2 sample=13 ||| proposal=-5.07641 ||| joint=-113.202
sent=2 sample=14 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=15 ||| proposal=-5.29285 ||| joint=-133.631
sent=2 sample=16 ||| proposal=-7.24055 ||| joint=-131.252
sent=2 sample=17 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=18 ||| proposal=-10.2978 ||| joint=-139.032
sent=2 sample=19 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=20 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=21 ||| proposal=-3.25608 ||| joint=-112.494
sent=2 sample=22 ||| proposal=-2.55245 ||| joint=-120.76
sent=2 sample=23 ||| proposal=-15.1396 ||| joint=-139.553
sent=2 sample=24 ||| proposal=-4.84885 ||| joint=-121.219
sent=2 sample=25 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=26 ||| proposal=-5.34775 ||| joint=-121.785
sent=2 sample=27 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=28 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=29 ||| proposal=-3.00825 ||| joint=-126.571
sent=2 sample=30 ||| proposal=-4.34978 ||| joint=-131.167
sent=2 sample=31 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=32 ||| proposal=-10.9841 ||| joint=-149.608
sent=2 sample=33 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=34 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=35 ||| proposal=-6.75342 ||| joint=-107.347
sent=2 sample=36 ||| proposal=-13.0254 ||| joint=-139.82
sent=2 sample=37 ||| proposal=-10.7472 ||| joint=-148.429
sent=2 sample=38 ||| proposal=-2.55245 ||| joint=-120.76
sent=2 sample=39 ||| proposal=-4.24718 ||| joint=-111.321
sent=2 sample=40 ||| proposal=-2.55245 ||| joint=-120.76
sent=2 sample=41 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=42 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=43 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=44 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=45 ||| proposal=-7.58236 ||| joint=-127.388
sent=2 sample=46 ||| proposal=-2.55245 ||| joint=-120.76
sent=2 sample=47 ||| proposal=-13.9775 ||| joint=-124.187
sent=2 sample=48 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=49 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=50 ||| proposal=-3.25608 ||| joint=-112.494
sent=2 sample=51 ||| proposal=-3.00825 ||| joint=-126.571
sent=2 sample=52 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=53 ||| proposal=-6.1762 ||| joint=-123.234
sent=2 sample=54 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=55 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=56 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=57 ||| proposal=-3.25608 ||| joint=-112.494
sent=2 sample=58 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=59 ||| proposal=-3.25608 ||| joint=-112.494
sent=2 sample=60 ||| proposal=-2.55245 ||| joint=-120.76
sent=2 sample=61 ||| proposal=-3.00825 ||| joint=-126.571
sent=2 sample=62 ||| proposal=-7.9489 ||| joint=-124.149
sent=2 sample=63 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=64 ||| proposal=-4.99466 ||| joint=-109.742
sent=2 sample=65 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=66 ||| proposal=-3.00825 ||| joint=-126.571
sent=2 sample=67 ||| proposal=-4.24718 ||| joint=-111.321
sent=2 sample=68 ||| proposal=-4.95008 ||| joint=-125.118
sent=2 sample=69 ||| proposal=-11.5988 ||| joint=-151.724
sent=2 sample=70 ||| proposal=-3.00825 ||| joint=-126.571
sent=2 sample=71 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=72 ||| proposal=-7.19869 ||| joint=-127.825
sent=2 sample=73 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=74 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=75 ||| proposal=-9.25836 ||| joint=-128.914
sent=2 sample=76 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=77 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=78 ||| proposal=-3.00825 ||| joint=-126.571
sent=2 sample=79 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=80 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=81 ||| proposal=-3.25608 ||| joint=-112.494
sent=2 sample=82 ||| proposal=-3.00825 ||| joint=-126.571
sent=2 sample=83 ||| proposal=-2.55245 ||| joint=-120.76
sent=2 sample=84 ||| proposal=-2.55245 ||| joint=-120.76
sent=2 sample=85 ||| proposal=-6.27746 ||| joint=-116.974
sent=2 sample=86 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=87 ||| proposal=-11.7437 ||| joint=-125.344
sent=2 sample=88 ||| proposal=-7.82129 ||| joint=-130.543
sent=2 sample=89 ||| proposal=-3.25608 ||| joint=-112.494
sent=2 sample=90 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=91 ||| proposal=-2.55245 ||| joint=-120.76
sent=2 sample=92 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=93 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=94 ||| proposal=-11.4912 ||| joint=-130.618
sent=2 sample=95 ||| proposal=-1.11812 ||| joint=-109.262
sent=2 sample=96 ||| proposal=-6.23027 ||| joint=-131.142
sent=2 sample=97 ||| proposal=-3.00825 ||| joint=-126.571
sent=2 sample=98 ||| proposal=-1.56839 ||| joint=-114.777
sent=2 sample=99 ||| proposal=-2.55245 ||| joint=-120.76
prob: -105.154745327034 (len=14)
sent=3 sample=0 ||| proposal=-2.85965 ||| joint=-109.944
sent=3 sample=1 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=2 ||| proposal=-2.85719 ||| joint=-111.035
sent=3 sample=3 ||| proposal=-5.67646 ||| joint=-120.165
sent=3 sample=4 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=5 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=6 ||| proposal=-5.4336 ||| joint=-103.878
sent=3 sample=7 ||| proposal=-6.59098 ||| joint=-135.884
sent=3 sample=8 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=9 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=10 ||| proposal=-2.53294 ||| joint=-120.559
sent=3 sample=11 ||| proposal=-2.85719 ||| joint=-111.035
sent=3 sample=12 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=13 ||| proposal=-2.53294 ||| joint=-120.559
sent=3 sample=14 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=15 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=16 ||| proposal=-2.85719 ||| joint=-111.035
sent=3 sample=17 ||| proposal=-14.4037 ||| joint=-135.332
sent=3 sample=18 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=19 ||| proposal=-4.40232 ||| joint=-113.777
sent=3 sample=20 ||| proposal=-6.91536 ||| joint=-120.972
sent=3 sample=21 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=22 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=23 ||| proposal=-4.46796 ||| joint=-123.651
